030439,"Other Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads (Fresh Or Chilled) (Fish Fillets)"
030441,"Pacific, Atlantic And Danube Salmon (Fresh Or Chilled) (Fish Fillets)"
030442,Trout (Fresh Or Chilled) (Fish Fillets)
030443,Flat Fish (Fresh Or Chilled) (Fish Fillets)
030444,Fish Of The Families (Fresh Or Chilled) (Fish Fillets)
030445,Swordfish (Fresh Or Chilled) (Fish Fillets)
030446,Toothfish (Fresh Or Chilled) (Fish Fillets)
030449,Other: Fresh Or Chilled Fillets Of Other Fish
030451,"Other, Fresh Or Chilled: Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads"
030452,"Other, Fresh Or Chilled: Salmonidae"
030453,"Other, Fresh Or Chilled: Fish Of The Families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae."
030454,"Other, Fresh Or Chilled: Swordfish"
030459,"Other, Fresh Or Chilled: Other"
030461,Tilapias (Frozen) (Fish Fillets)
030462,Catfish (Frozen) (Fish Fillets)
030469,"Other: Other Frozen Fillets Of Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads"
030471,Frozen Fillets Of Fish Of The Families: Cod
030472,Frozen Fillets Of Fish Of The Families: Haddock
030473,Frozen Fillets Of Fish Of The Families: Coalfish
030474,Frozen Fillets Of Fish Of The Families: Hake
030475,Frozen Fillets Of Fish Of The Families: Alaska Pollack
030479,Other: Frozen Fillets Of Other Fish Of The Families
030481,"Frozen Fillets Of Other Fish: Pacific Salmon, Atlantic Salmon And Danube Salmon"
030482,Frozen Fillets Of Other Fish: Trout
030483,Frozen Fillets Of Other Fish: Flat Fish
030484,Frozen Fillets Of Other Fish: Swordfish
030485,Frozen Fillets Of Other Fish: Toothfish
030486,Frozen Fillets Of Other Fish: Herrings
030487,"Frozen Fillets Of Other Fish: Tunas, Skipjack Or Stripe-Bellied Bonito"
030489,Other: Frozen Fillets Of Other Fish
030491,"Swordfish Meat, Minced Or Not, Frozen"
030492,"Toothfish Meat, Minced Or Not, Frozen"
030493,"Tilapias, Catfish, Carp,  Eels, Nile Perch And Snakeheads"
030494,Alaska Pollack
030495,"Fish Of The Families, Other Than Alaska Pollack"
030499,"Fish Meat, Nes, Minced Or Not, Frozen"
030510,Fish Meal - Fit For Human Consumption
030520,"Livers And Roes - Dried, Smoked, Salted Or In Brine"
030531,"Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads (Dried, Salted Or In Brine, But Not Smoked)"
030532," Fish Of The Families (Dried, Salted Or In Brine, But Not Smoked) (Fish Fillets)"
